ID longitude latitude risk_index
000001 -4.196391 50.392734 1.3377
000002 -4.196391 50.397429 1.3376
000003 -4.196391 50.402124 1.6422
000004 -4.196391 50.406819 1.5086
000005 -4.196391 50.411513 1.4466
000006 -4.196391 50.416208 1.4128
000007 -4.196391 50.420903 1.3922
000008 -4.196391 50.425598 1.3787
000009 -4.196391 50.430293 1.3694
000010 -4.196391 50.434988 1.3625
000011 -4.196391 50.439683 1.3574
000012 -4.196391 50.444378 1.3534
000013 -4.190920 50.388039 1.3394
000014 -4.190920 50.392734 1.3393
000015 -4.190920 50.397429 1.8511
000016 -4.190920 50.402124 1.6038
000017 -4.190920 50.406819 1.4967
000018 -4.190920 50.411513 1.4424
000019 -4.190920 50.416208 1.4113
000020 -4.190920 50.420903 1.3919
000021 -4.190920 50.425598 1.3789
000022 -4.190920 50.430293 1.3698
000023 -4.190920 50.434988 1.3630
000024 -4.190920 50.439683 1.3579
000025 -4.190920 50.444378 1.3539
000026 -4.190920 50.449073 1.3507
000027 -4.185449 50.388039 1.8463
000028 -4.185449 50.392734 1.7677
000029 -4.185449 50.397429 1.6319
000030 -4.185449 50.402124 1.5309
000031 -4.185449 50.406819 1.4684
000032 -4.185449 50.411513 1.4301
000033 -4.185449 50.416208 1.4056
000034 -4.185449 50.420903 1.3892
000035 -4.185449 50.425598 1.3777
000036 -4.185449 50.430293 1.3693
000037 -4.185449 50.434988 1.3630
000038 -4.185449 50.439683 1.3581
000039 -4.185449 50.444378 1.3542
000040 -4.185449 50.449073 1.3510
000041 -4.185449 50.453768 1.3484
000042 -4.185449 50.458463 1.3461
000043 -4.179978 50.388039 1.5683
000044 -4.179978 50.392734 1.5513
000045 -4.179978 50.397429 1.5126
000046 -4.179978 50.402124 1.4724
000047 -4.179978 50.406819 1.4398
000048 -4.179978 50.411513 1.4157
000049 -4.179978 50.416208 1.3981
000050 -4.179978 50.420903 1.3853
000051 -4.179978 50.425598 1.3757
000052 -4.179978 50.430293 1.3683
000053 -4.179978 50.434988 1.3626
000054 -4.179978 50.439683 1.3580
000055 -4.179978 50.444378 1.3543
000056 -4.179978 50.449073 1.3512
000057 -4.179978 50.453768 1.3486
000058 -4.179978 50.458463 1.3464
000059 -4.179978 50.463158 1.3445
000060 -4.174506 50.388039 1.4734
000061 -4.174506 50.392734 1.4677
000062 -4.174506 50.397429 1.4533
000063 -4.174506 50.402124 1.4354
000064 -4.174506 50.406819 1.4181
000065 -4.174506 50.411513 1.4032
000066 -4.174506 50.416208 1.3910
000067 -4.174506 50.420903 1.3813
000068 -4.174506 50.425598 1.3735
000069 -4.174506 50.430293 1.3672
000070 -4.174506 50.434988 1.3620
000071 -4.174506 50.439683 1.3578
000072 -4.174506 50.444378 1.3542
000073 -4.174506 50.449073 1.3513
000074 -4.174506 50.453768 1.3487
000075 -4.174506 50.458463 1.3466
000076 -4.174506 50.463158 1.3447
000077 -4.174506 50.467853 1.3431
000078 -4.169035 50.388039 1.4322
000079 -4.169035 50.392734 1.4297
000080 -4.169035 50.397429 1.4230
000081 -4.169035 50.402124 1.4138
000082 -4.169035 50.406819 1.4038
000083 -4.169035 50.411513 1.3941
000084 -4.169035 50.416208 1.3855
000085 -4.169035 50.420903 1.3780
000086 -4.169035 50.425598 1.3715
000087 -4.169035 50.430293 1.3661
000088 -4.169035 50.434988 1.3615
000089 -4.169035 50.439683 1.3576
000090 -4.169035 50.444378 1.3542
000091 -4.169035 50.449073 1.3513
000092 -4.169035 50.453768 1.3489
000093 -4.169035 50.458463 1.3467
000094 -4.169035 50.463158 1.3449
000095 -4.169035 50.467853 1.3433
000096 -4.163564 50.388039 1.4134
000097 -4.163564 50.392734 1.4120
000098 -4.163564 50.397429 1.4080
000099 -4.163564 50.402124 1.4023
000100 -4.163564 50.406819 1.3956
000101 -4.163564 50.411513 1.3887
000102 -4.163564 50.416208 1.3820
000103 -4.163564 50.420903 1.3758
000104 -4.163564 50.425598 1.3703
000105 -4.163564 50.430293 1.3654
000106 -4.163564 50.434988 1.3612
000107 -4.163564 50.439683 1.3574
000108 -4.163564 50.444378 1.3542
000109 -4.163564 50.449073 1.3514
000110 -4.163564 50.453768 1.3490
000111 -4.163564 50.458463 1.3469
000112 -4.163564 50.463158 1.3450
000113 -4.163564 50.467853 1.3434
000114 -4.163564 50.472548 1.3420
000115 -4.158093 50.388039 1.4066
000116 -4.158093 50.392734 1.4056
000117 -4.158093 50.397429 1.4026
000118 -4.158093 50.402124 1.3980
000119 -4.158093 50.406819 1.3926
000120 -4.158093 50.411513 1.3867
000121 -4.158093 50.416208 1.3807
000122 -4.158093 50.420903 1.3751
000123 -4.158093 50.425598 1.3699
000124 -4.158093 50.430293 1.3653
000125 -4.158093 50.434988 1.3611
000126 -4.158093 50.439683 1.3575
000127 -4.158093 50.444378 1.3543
000128 -4.158093 50.449073 1.3515
000129 -4.158093 50.453768 1.3491
000130 -4.158093 50.458463 1.3470
000131 -4.158093 50.463158 1.3451
000132 -4.158093 50.467853 1.3435
000133 -4.158093 50.472548 1.3421
000134 -4.158093 50.477243 1.3408
000135 -4.152622 50.388039 1.4089
000136 -4.152622 50.392734 1.4078
000137 -4.152622 50.397429 1.4046
000138 -4.152622 50.402124 1.3998
000139 -4.152622 50.406819 1.3940
000140 -4.152622 50.411513 1.3879
000141 -4.152622 50.416208 1.3817
000142 -4.152622 50.420903 1.3759
000143 -4.152622 50.425598 1.3705
000144 -4.152622 50.430293 1.3658
000145 -4.152622 50.434988 1.3615
000146 -4.152622 50.439683 1.3578
000147 -4.152622 50.444378 1.3546
000148 -4.152622 50.449073 1.3517
000149 -4.152622 50.453768 1.3493
000150 -4.152622 50.458463 1.3471
000151 -4.152622 50.463158 1.3452
000152 -4.152622 50.467853 1.3436
000153 -4.152622 50.472548 1.3421
000154 -4.152622 50.477243 1.3409
000155 -4.147150 50.388039 1.4208
000156 -4.147150 50.392734 1.4191
000157 -4.147150 50.397429 1.4145
000158 -4.147150 50.402124 1.4079
000159 -4.147150 50.406819 1.4002
000160 -4.147150 50.411513 1.3924
000161 -4.147150 50.416208 1.3849
000162 -4.147150 50.420903 1.3781
000163 -4.147150 50.425598 1.3721
000164 -4.147150 50.430293 1.3668
000165 -4.147150 50.434988 1.3622
000166 -4.147150 50.439683 1.3583
000167 -4.147150 50.444378 1.3549
000168 -4.147150 50.449073 1.3520
000169 -4.147150 50.453768 1.3494
000170 -4.147150 50.458463 1.3472
000171 -4.147150 50.463158 1.3453
000172 -4.147150 50.467853 1.3437
000173 -4.147150 50.472548 1.3422
000174 -4.141679 50.388039 1.4469
000175 -4.141679 50.392734 1.4438
000176 -4.141679 50.397429 1.4355
000177 -4.141679 50.402124 1.4242
000178 -4.141679 50.406819 1.4121
000179 -4.141679 50.411513 1.4006
000180 -4.141679 50.416208 1.3905
000181 -4.141679 50.420903 1.3818
000182 -4.141679 50.425598 1.3745
000183 -4.141679 50.430293 1.3684
000184 -4.141679 50.434988 1.3633
000185 -4.141679 50.439683 1.3590
000186 -4.141679 50.444378 1.3553
000187 -4.141679 50.449073 1.3522
000188 -4.141679 50.453768 1.3496
000189 -4.141679 50.458463 1.3473
000190 -4.141679 50.463158 1.3454
000191 -4.141679 50.467853 1.3437
000192 -4.136208 50.388039 1.5009
000193 -4.136208 50.392734 1.4936
000194 -4.136208 50.397429 1.4751
000195 -4.136208 50.402124 1.4525
000196 -4.136208 50.406819 1.4310
000197 -4.136208 50.411513 1.4129
000198 -4.136208 50.416208 1.3982
000199 -4.136208 50.420903 1.3867
000200 -4.136208 50.425598 1.3776
